timestamp,cpu_total,mem_percent,battery_percent,proc_count,top1_pid,top1_name,top1_cpu,top2_pid,top2_name,top2_cpu,top3_pid,top3_name,top3_cpu
2025-11-10 08:53:38,0.0,14.6,42.050970873786405,334,1,systemd,0.0,2,kthreadd,0.0,3,pool_workqueue_release,0.0
2025-11-10 08:53:44,3.9,15.0,42.02063106796116,336,4451,gnome-shell,5.4,8953,gnome-terminal-server,4.2,6989,nautilus,2.4
2025-11-10 08:53:49,8.9,15.6,41.99029126213592,336,10447,soffice.bin,96.0,4451,gnome-shell,2.6,6989,nautilus,2.0
2025-11-10 08:53:54,4.5,15.8,41.95995145631068,336,10447,soffice.bin,32.1,4451,gnome-shell,14.7,6989,nautilus,1.6
2025-11-10 08:53:59,3.8,15.1,41.929611650485434,338,6989,nautilus,14.6,4451,gnome-shell,14.2,298,irq/178-PIXA3848:00,1.2
2025-11-10 08:54:04,21.6,19.1,41.86893203883495,345,10502,code,36.8,4451,gnome-shell,9.8,5055,Xwayland,2.0
2025-11-10 08:54:09,0.5,19.0,41.838592233009706,345,298,irq/178-PIXA3848:00,1.6,2860,mysqld,1.4,4451,gnome-shell,0.8
2025-11-10 08:54:14,7.1,20.2,41.80825242718446,345,10563,code,29.5,11159,code,21.7,10502,code,9.0
2025-11-10 08:54:19,11.5,22.0,41.77791262135922,352,11187,code,70.2,10563,code,37.6,10502,code,9.3
2025-11-10 08:54:24,21.2,23.4,41.717233009708735,345,11187,code,119.8,10563,code,59.0,10540,code,20.3
2025-11-10 08:54:29,22.7,23.5,41.65655339805825,346,10563,code,78.0,10540,code,35.4,4451,gnome-shell,30.1
2025-11-10 08:54:34,13.8,23.7,41.62621359223301,351,4451,gnome-shell,38.9,11187,code,27.5,10563,code,7.8
2025-11-10 08:54:39,3.5,23.2,41.595873786407765,351,10563,code,14.1,12045,gnome-system-monitor,10.7,4451,gnome-shell,8.0
2025-11-10 08:54:44,7.5,23.5,41.53519417475728,347,10563,code,23.7,4451,gnome-shell,18.1,10540,code,11.9
2025-11-10 08:54:49,9.8,23.2,41.50485436893204,347,10563,code,51.2,10540,code,19.9,4451,gnome-shell,17.5
2025-11-10 08:54:54,11.1,15.6,41.474514563106794,337,4451,gnome-shell,20.9,12045,gnome-system-monitor,6.8,5055,Xwayland,5.2
2025-11-10 08:54:59,4.4,15.4,41.44417475728155,336,4451,gnome-shell,22.8,12045,gnome-system-monitor,11.3,9537,gnome-text-editor,5.2
2025-11-10 08:55:04,4.6,15.0,41.41383495145631,336,4451,gnome-shell,18.1,12045,gnome-system-monitor,13.9,298,irq/178-PIXA3848:00,2.2
2025-11-10 08:55:09,3.2,14.1,41.383495145631066,335,4451,gnome-shell,10.5,12045,gnome-system-monitor,10.5,1588,snapd,3.4
2025-11-10 08:55:14,2.1,14.1,41.353155339805824,335,12045,gnome-system-monitor,11.9,4451,gnome-shell,7.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:55:19,2.2,14.1,41.353155339805824,335,4451,gnome-shell,11.7,12045,gnome-system-monitor,9.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:55:24,2.5,14.1,41.32281553398058,335,4451,gnome-shell,11.7,12045,gnome-system-monitor,9.8,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:55:29,2.7,14.1,41.29247572815534,308,4451,gnome-shell,15.5,12045,gnome-system-monitor,11.8,141,kworker/u49:0-i915_flip,1.0
2025-11-10 08:55:34,2.5,14.0,41.29247572815534,304,4451,gnome-shell,13.1,12045,gnome-system-monitor,10.0,141,kworker/u49:0+i915_flip,1.6
2025-11-10 08:55:39,2.3,14.0,41.262135922330096,304,4451,gnome-shell,11.7,12045,gnome-system-monitor,9.9,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:55:44,3.2,14.0,41.23179611650485,304,4451,gnome-shell,15.5,12045,gnome-system-monitor,12.5,1657,preload,1.6
2025-11-10 08:55:49,2.4,14.0,41.20145631067961,303,4451,gnome-shell,12.5,12045,gnome-system-monitor,10.8,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:55:54,1.5,14.0,41.20145631067961,303,12045,gnome-system-monitor,6.8,4451,gnome-shell,5.8,141,kworker/u49:0+i915_flip,1.8
2025-11-10 08:55:59,1.1,14.0,41.17111650485437,303,12045,gnome-system-monitor,5.4,4451,gnome-shell,2.8,141,kworker/u49:0-i915_flip,1.6
2025-11-10 08:56:04,2.9,14.0,41.140776699029125,303,4451,gnome-shell,14.1,12045,gnome-system-monitor,10.4,1657,preload,1.6
2025-11-10 08:56:09,2.0,14.0,41.11043689320388,303,4451,gnome-shell,10.5,12045,gnome-system-monitor,8.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:56:14,2.1,14.0,41.11043689320388,303,4451,gnome-shell,11.0,12045,gnome-system-monitor,9.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:56:19,2.5,14.0,41.08009708737864,303,4451,gnome-shell,14.3,12045,gnome-system-monitor,11.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:56:24,2.4,14.0,41.0497572815534,303,4451,gnome-shell,10.4,12045,gnome-system-monitor,9.0,141,kworker/u49:0-i915_flip,1.6
2025-11-10 08:56:29,2.2,13.9,41.019417475728154,303,4451,gnome-shell,11.6,12045,gnome-system-monitor,9.8,141,kworker/u49:0+i915_flip,1.4
2025-11-10 08:56:34,2.5,13.9,41.019417475728154,303,4451,gnome-shell,13.3,12045,gnome-system-monitor,11.4,141,kworker/u49:0+i915_flip,1.4
2025-11-10 08:56:39,2.0,13.9,40.98907766990291,304,4451,gnome-shell,10.1,12045,gnome-system-monitor,9.1,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:56:44,2.8,14.0,40.95873786407767,303,4451,gnome-shell,11.7,12045,gnome-system-monitor,10.0,1657,preload,2.0
2025-11-10 08:56:49,2.5,14.0,40.95873786407767,303,4451,gnome-shell,13.3,12045,gnome-system-monitor,11.4,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:56:54,2.0,13.9,40.92839805825243,303,4451,gnome-shell,10.4,12045,gnome-system-monitor,8.8,141,kworker/u49:0-i915_flip,1.6
2025-11-10 08:56:59,2.2,13.9,40.898058252427184,303,4451,gnome-shell,11.0,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:57:04,2.9,14.0,40.86771844660194,303,4451,gnome-shell,13.4,12045,gnome-system-monitor,11.2,572,kworker/u48:14-events_unbound,1.6
2025-11-10 08:57:09,1.9,13.9,40.86771844660194,303,4451,gnome-shell,10.0,12045,gnome-system-monitor,9.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:57:15,2.3,13.9,40.8373786407767,303,4451,gnome-shell,11.9,12045,gnome-system-monitor,10.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:57:20,2.6,14.0,40.807038834951456,303,4451,gnome-shell,14.5,12045,gnome-system-monitor,11.6,141,kworker/u49:0+i915_flip,1.6
2025-11-10 08:57:25,2.5,14.0,40.807038834951456,303,4451,gnome-shell,10.8,12045,gnome-system-monitor,9.4,141,kworker/u49:0-i915_flip,1.6
2025-11-10 08:57:30,2.3,14.0,40.77669902912621,303,4451,gnome-shell,12.7,12045,gnome-system-monitor,9.8,141,kworker/u49:0+i915_flip,1.8
2025-11-10 08:57:35,2.6,13.9,40.74635922330097,303,4451,gnome-shell,14.1,12045,gnome-system-monitor,11.4,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:57:40,2.2,13.9,40.71601941747573,303,4451,gnome-shell,11.1,12045,gnome-system-monitor,9.8,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:57:45,3.0,14.0,40.71601941747573,304,4451,gnome-shell,12.4,12045,gnome-system-monitor,10.8,1657,preload,2.2
2025-11-10 08:57:50,2.7,13.9,40.685679611650485,303,4451,gnome-shell,15.3,12045,gnome-system-monitor,11.7,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:57:55,2.2,13.9,40.65533980582524,303,4451,gnome-shell,11.3,12045,gnome-system-monitor,9.6,141,kworker/u49:0+i915_flip,1.6
2025-11-10 08:58:00,2.4,13.9,40.625,303,4451,gnome-shell,12.5,12045,gnome-system-monitor,11.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:58:05,3.0,14.0,40.59466019417476,303,4451,gnome-shell,15.3,12045,gnome-system-monitor,12.2,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:58:10,2.2,13.9,40.59466019417476,303,4451,gnome-shell,11.9,12045,gnome-system-monitor,10.3,141,kworker/u49:0+i915_flip,1.4
2025-11-10 08:58:15,2.4,13.9,40.564320388349515,303,4451,gnome-shell,12.1,12045,gnome-system-monitor,10.8,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:58:20,2.7,13.9,40.53398058252427,303,4451,gnome-shell,15.5,12045,gnome-system-monitor,12.5,95,kworker/u48:1-i915,1.2
2025-11-10 08:58:25,2.6,13.9,40.53398058252427,303,4451,gnome-shell,12.1,12045,gnome-system-monitor,10.7,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:58:30,2.4,14.0,40.50364077669903,303,4451,gnome-shell,12.3,12045,gnome-system-monitor,11.0,141,kworker/u49:0+i915_flip,1.2
2025-11-10 08:58:35,3.0,14.0,40.47330097087379,304,4451,gnome-shell,15.9,12045,gnome-system-monitor,12.7,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:58:40,2.2,14.0,40.442961165048544,303,4451,gnome-shell,11.9,12045,gnome-system-monitor,11.0,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:58:45,3.0,14.0,40.4126213592233,303,4451,gnome-shell,12.9,12045,gnome-system-monitor,11.8,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:58:50,2.8,14.0,40.4126213592233,303,4451,gnome-shell,15.5,12045,gnome-system-monitor,12.5,141,kworker/u49:0-i915_flip,1.2
2025-11-10 08:58:55,1.9,14.0,40.38228155339806,303,12045,gnome-system-monitor,8.8,4451,gnome-shell,8.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:59:00,2.0,14.0,40.351941747572816,328,4451,gnome-shell,9.6,12045,gnome-system-monitor,8.2,141,kworker/u49:0-i915_flip,1.6
2025-11-10 08:59:05,2.8,14.0,40.351941747572816,303,4451,gnome-shell,12.1,12045,gnome-system-monitor,11.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:59:10,2.4,14.0,40.32160194174757,303,4451,gnome-shell,12.9,12045,gnome-system-monitor,11.2,95,kworker/u48:1-i915,1.2
2025-11-10 08:59:15,1.9,13.9,40.29126213592233,303,4451,gnome-shell,9.4,12045,gnome-system-monitor,9.0,141,kworker/u49:0+i915_flip,1.6
2025-11-10 08:59:20,2.8,14.0,40.26092233009709,303,4451,gnome-shell,12.5,12045,gnome-system-monitor,10.4,1657,preload,1.4
2025-11-10 08:59:25,2.4,13.9,40.26092233009709,303,4451,gnome-shell,13.3,12045,gnome-system-monitor,10.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:59:30,1.9,14.0,40.230582524271846,303,4451,gnome-shell,9.4,12045,gnome-system-monitor,8.6,141,kworker/u49:0+i915_flip,1.6
2025-11-10 08:59:35,2.4,14.0,40.2002427184466,303,4451,gnome-shell,12.8,12045,gnome-system-monitor,10.4,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:59:40,2.8,14.1,40.16990291262136,303,4451,gnome-shell,12.9,12045,gnome-system-monitor,11.2,1657,preload,1.6
2025-11-10 08:59:45,1.9,14.0,40.16990291262136,303,4451,gnome-shell,9.3,12045,gnome-system-monitor,8.1,141,kworker/u49:0+i915_flip,1.4
2025-11-10 08:59:50,2.5,14.0,40.13956310679612,303,4451,gnome-shell,13.3,12045,gnome-system-monitor,10.4,141,kworker/u49:0-i915_flip,1.4
2025-11-10 08:59:55,2.4,14.0,40.109223300970875,303,4451,gnome-shell,13.7,12045,gnome-system-monitor,10.7,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:00:00,2.3,14.0,40.109223300970875,303,4451,gnome-shell,9.5,12045,gnome-system-monitor,8.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:00:05,5.0,14.0,40.07888349514563,307,4451,gnome-shell,12.1,12045,gnome-system-monitor,10.0,1569,dbus-daemon,2.8
2025-11-10 09:00:10,2.9,14.1,40.04854368932039,306,4451,gnome-shell,13.7,12045,gnome-system-monitor,9.5,20537,fwupd,3.6
2025-11-10 09:00:15,5.2,14.0,40.01820388349515,306,4451,gnome-shell,52.0,12045,gnome-system-monitor,5.2,141,kworker/u49:0-i915_flip,0.8
2025-11-10 09:00:20,7.5,14.0,39.987864077669904,306,4451,gnome-shell,82.3,12045,gnome-system-monitor,1.8,141,kworker/u49:0-i915_flip,0.8
2025-11-10 09:00:25,2.1,13.9,39.95752427184466,306,4451,gnome-shell,17.9,12045,gnome-system-monitor,3.2,2860,mysqld,1.2
2025-11-10 09:00:30,0.6,13.9,39.95752427184466,306,12045,gnome-system-monitor,3.8,2860,mysqld,1.0,4451,gnome-shell,0.8
2025-11-10 09:00:35,0.8,13.8,39.95752427184466,306,12045,gnome-system-monitor,3.8,4451,gnome-shell,2.0,2860,mysqld,1.4
2025-11-10 09:00:40,1.0,13.8,39.92718446601942,306,12045,gnome-system-monitor,4.0,1657,preload,1.4,2860,mysqld,1.2
2025-11-10 09:00:45,0.7,13.8,39.92718446601942,306,12045,gnome-system-monitor,3.8,4451,gnome-shell,1.4,2860,mysqld,1.2
2025-11-10 09:00:50,0.6,13.8,39.92718446601942,306,12045,gnome-system-monitor,3.8,2860,mysqld,1.4,4451,gnome-shell,1.0
2025-11-10 09:00:56,0.7,13.8,39.896844660194176,303,12045,gnome-system-monitor,4.2,2860,mysqld,1.2,4451,gnome-shell,0.8
2025-11-10 09:01:01,1.1,13.8,39.896844660194176,303,12045,gnome-system-monitor,4.2,2860,mysqld,1.4,1657,preload,1.2
2025-11-10 09:01:06,0.7,13.8,39.896844660194176,303,12045,gnome-system-monitor,4.2,2860,mysqld,1.6,4451,gnome-shell,1.0
2025-11-10 09:01:11,0.6,13.8,39.866504854368934,303,12045,gnome-system-monitor,3.8,4451,gnome-shell,1.4,2860,mysqld,1.2
2025-11-10 09:01:16,0.7,13.8,39.866504854368934,303,12045,gnome-system-monitor,4.4,2860,mysqld,1.2,4451,gnome-shell,1.0
2025-11-10 09:01:21,1.0,13.8,39.866504854368934,303,12045,gnome-system-monitor,4.4,1657,preload,1.2,2860,mysqld,1.2
2025-11-10 09:01:26,0.7,13.8,39.83616504854369,303,12045,gnome-system-monitor,4.2,2860,mysqld,1.2,4451,gnome-shell,1.2
2025-11-10 09:01:31,0.7,13.8,39.83616504854369,303,12045,gnome-system-monitor,4.0,2860,mysqld,1.2,4451,gnome-shell,0.8
2025-11-10 09:01:36,0.7,13.8,39.83616504854369,303,12045,gnome-system-monitor,4.6,2860,mysqld,1.2,4451,gnome-shell,1.0
2025-11-10 09:01:41,1.2,13.8,39.80582524271845,304,12045,gnome-system-monitor,4.2,1657,preload,1.2,2860,mysqld,1.0
2025-11-10 09:01:46,0.7,13.8,39.80582524271845,304,12045,gnome-system-monitor,4.2,2860,mysqld,1.4,4451,gnome-shell,1.4
2025-11-10 09:01:51,0.7,13.8,39.80582524271845,304,12045,gnome-system-monitor,4.2,2860,mysqld,1.4,4451,gnome-shell,1.0
2025-11-10 09:01:56,0.7,13.7,39.775485436893206,304,12045,gnome-system-monitor,4.4,2860,mysqld,1.4,4451,gnome-shell,1.0
2025-11-10 09:02:01,1.0,13.8,39.775485436893206,304,12045,gnome-system-monitor,4.0,2860,mysqld,1.4,4451,gnome-shell,1.4
2025-11-10 09:02:06,0.7,13.8,39.775485436893206,304,12045,gnome-system-monitor,4.2,2860,mysqld,1.2,4451,gnome-shell,1.0
2025-11-10 09:02:11,0.7,13.8,39.74514563106796,304,12045,gnome-system-monitor,4.2,2860,mysqld,1.2,4451,gnome-shell,1.2
2025-11-10 09:02:16,0.7,13.8,39.74514563106796,304,12045,gnome-system-monitor,4.0,2860,mysqld,1.2,4451,gnome-shell,1.0
2025-11-10 09:02:21,1.0,13.8,39.74514563106796,304,12045,gnome-system-monitor,4.2,1657,preload,1.2,2860,mysqld,1.2
2025-11-10 09:02:26,0.7,13.8,39.71480582524272,304,12045,gnome-system-monitor,4.6,2860,mysqld,1.6,4451,gnome-shell,1.0
2025-11-10 09:02:31,0.6,13.8,39.71480582524272,304,12045,gnome-system-monitor,4.0,2860,mysqld,1.2,4451,gnome-shell,1.0
2025-11-10 09:02:36,0.7,13.8,39.71480582524272,304,12045,gnome-system-monitor,4.2,4451,gnome-shell,1.4,2860,mysqld,1.2
2025-11-10 09:02:41,1.0,13.8,39.71480582524272,304,12045,gnome-system-monitor,4.2,1657,preload,1.4,2860,mysqld,1.4
2025-11-10 09:02:46,0.9,13.8,39.68446601941748,304,12045,gnome-system-monitor,4.0,4451,gnome-shell,2.6,2860,mysqld,1.4
2025-11-10 09:02:51,2.3,13.7,39.654126213592235,306,4451,gnome-shell,12.5,12045,gnome-system-monitor,4.2,4558,ibus-daemon,1.4
2025-11-10 09:02:56,4.9,14.2,39.62378640776699,307,4451,gnome-shell,23.7,12045,gnome-system-monitor,4.6,4558,ibus-daemon,2.6
2025-11-10 09:03:01,4.5,15.2,39.59344660194175,311,4451,gnome-shell,12.1,12045,gnome-system-monitor,10.6,1657,preload,2.0
2025-11-10 09:03:06,2.3,14.6,39.56310679611651,310,4451,gnome-shell,10.7,12045,gnome-system-monitor,9.9,141,kworker/u49:0-i915_flip,1.2
2025-11-10 09:03:11,3.3,14.9,39.532766990291265,307,4451,gnome-shell,10.2,12045,gnome-system-monitor,9.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:03:16,2.6,14.5,39.50242718446602,307,4451,gnome-shell,13.3,12045,gnome-system-monitor,11.9,141,kworker/u49:0-i915_flip,1.2
2025-11-10 09:03:21,2.7,14.3,39.47208737864078,307,4451,gnome-shell,10.8,12045,gnome-system-monitor,9.4,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:03:26,2.2,14.2,39.44174757281554,306,4451,gnome-shell,10.4,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:03:31,2.6,14.1,39.411407766990294,306,4451,gnome-shell,13.5,12045,gnome-system-monitor,12.3,141,kworker/u49:0-i915_flip,1.2
2025-11-10 09:03:36,1.1,14.1,39.411407766990294,306,12045,gnome-system-monitor,5.2,4451,gnome-shell,3.6,141,kworker/u49:0+i915_flip,1.6
2025-11-10 09:03:41,2.0,14.1,39.38106796116505,306,12045,gnome-system-monitor,8.0,4451,gnome-shell,7.2,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:03:46,1.7,14.1,39.35072815533981,306,12045,gnome-system-monitor,7.8,4451,gnome-shell,7.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:03:51,2.3,14.1,39.35072815533981,306,4451,gnome-shell,11.4,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:03:56,1.8,14.0,39.320388349514566,306,12045,gnome-system-monitor,8.8,4451,gnome-shell,8.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:04:01,2.9,14.1,39.29004854368932,306,4451,gnome-shell,11.4,12045,gnome-system-monitor,11.4,1657,preload,2.0
2025-11-10 09:04:06,2.4,14.0,39.25970873786408,306,12045,gnome-system-monitor,11.3,4451,gnome-shell,11.1,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:04:11,1.8,14.0,39.25970873786408,306,12045,gnome-system-monitor,8.5,4451,gnome-shell,8.1,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:04:16,2.2,14.0,39.22936893203884,306,12045,gnome-system-monitor,10.4,4451,gnome-shell,10.3,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:04:21,2.7,14.1,39.199029126213595,306,4451,gnome-shell,11.5,12045,gnome-system-monitor,10.4,141,kworker/u49:0+i915_flip,1.4
2025-11-10 09:04:26,1.8,14.1,39.16868932038835,306,12045,gnome-system-monitor,8.9,4451,gnome-shell,7.9,141,kworker/u49:0+i915_flip,1.6
2025-11-10 09:04:31,2.2,14.0,39.16868932038835,306,4451,gnome-shell,10.5,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:04:36,2.2,14.0,39.13834951456311,306,4451,gnome-shell,11.1,12045,gnome-system-monitor,10.7,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:04:42,2.1,14.0,39.10800970873787,306,12045,gnome-system-monitor,8.6,4451,gnome-shell,7.8,141,kworker/u49:0+i915_flip,1.4
2025-11-10 09:04:47,2.2,13.9,39.10800970873787,306,4451,gnome-shell,10.4,12045,gnome-system-monitor,10.4,581,kworker/u48:16-i915,1.4
2025-11-10 09:04:52,2.3,14.0,39.077669902912625,306,4451,gnome-shell,11.5,12045,gnome-system-monitor,11.1,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:04:57,1.8,13.9,39.047330097087375,306,12045,gnome-system-monitor,8.5,4451,gnome-shell,7.4,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:02,2.2,14.1,39.01699029126213,306,12045,gnome-system-monitor,8.4,4451,gnome-shell,8.2,141,kworker/u49:0+i915_flip,1.6
2025-11-10 09:05:07,2.2,14.1,39.01699029126213,304,4451,gnome-shell,10.8,12045,gnome-system-monitor,10.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:12,2.3,14.0,38.98665048543689,303,4451,gnome-shell,11.3,12045,gnome-system-monitor,10.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:17,1.7,14.0,38.95631067961165,303,12045,gnome-system-monitor,8.0,4451,gnome-shell,7.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:22,2.7,14.0,38.925970873786405,303,4451,gnome-shell,11.4,12045,gnome-system-monitor,10.4,1657,preload,1.4
2025-11-10 09:05:27,2.2,14.0,38.925970873786405,303,4451,gnome-shell,11.0,12045,gnome-system-monitor,10.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:32,1.8,14.0,38.89563106796116,304,12045,gnome-system-monitor,8.5,4451,gnome-shell,7.7,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:37,2.2,14.0,38.86529126213592,303,4451,gnome-shell,11.3,12045,gnome-system-monitor,10.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:42,2.5,14.1,38.83495145631068,303,4451,gnome-shell,11.0,12045,gnome-system-monitor,10.4,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:47,1.7,14.1,38.83495145631068,303,4451,gnome-shell,8.4,12045,gnome-system-monitor,8.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:05:52,2.2,14.1,38.804611650485434,302,4451,gnome-shell,10.7,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:05:57,2.3,14.0,38.77427184466019,302,4451,gnome-shell,11.3,12045,gnome-system-monitor,10.5,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:06:02,2.1,14.0,38.77427184466019,302,12045,gnome-system-monitor,8.2,4451,gnome-shell,8.0,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:06:07,2.3,14.1,38.74393203883495,302,12045,gnome-system-monitor,11.0,4451,gnome-shell,10.9,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:06:12,2.3,14.0,38.713592233009706,302,4451,gnome-shell,11.4,12045,gnome-system-monitor,10.4,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:06:17,1.7,14.0,38.68325242718446,302,12045,gnome-system-monitor,8.1,4451,gnome-shell,7.6,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:06:22,2.7,14.1,38.65291262135922,302,4451,gnome-shell,11.5,12045,gnome-system-monitor,10.6,141,kworker/u49:0+i915_flip,1.4
2025-11-10 09:06:27,2.3,14.1,38.65291262135922,302,4451,gnome-shell,10.9,12045,gnome-system-monitor,10.9,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:06:32,1.9,14.0,38.62257281553398,302,12045,gnome-system-monitor,8.5,4451,gnome-shell,7.9,141,kworker/u49:0+i915_flip,1.6
2025-11-10 09:06:37,2.3,14.0,38.592233009708735,303,4451,gnome-shell,11.4,12045,gnome-system-monitor,10.8,141,kworker/u49:0-i915_flip,1.2
2025-11-10 09:06:42,2.6,14.0,38.592233009708735,303,4451,gnome-shell,10.4,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:06:47,1.8,14.0,38.56189320388349,303,12045,gnome-system-monitor,8.6,4451,gnome-shell,8.4,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:06:52,2.3,14.0,38.53155339805825,303,4451,gnome-shell,11.2,12045,gnome-system-monitor,11.0,141,kworker/u49:0-i915_flip,1.2
2025-11-10 09:06:57,2.2,14.0,38.50121359223301,302,4451,gnome-shell,10.9,12045,gnome-system-monitor,10.7,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:07:02,2.5,14.1,38.50121359223301,302,12045,gnome-system-monitor,9.6,4451,gnome-shell,8.6,1657,preload,2.0
2025-11-10 09:07:07,1.8,14.1,38.470873786407765,303,12045,gnome-system-monitor,8.2,4451,gnome-shell,7.0,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:07:12,2.5,14.1,38.44053398058252,302,4451,gnome-shell,12.1,12045,gnome-system-monitor,11.4,141,kworker/u49:0-i915_flip,1.2
2025-11-10 09:07:17,2.1,14.1,38.41019417475728,302,4451,gnome-shell,10.8,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:07:22,2.4,14.1,38.41019417475728,302,12045,gnome-system-monitor,8.8,4451,gnome-shell,8.0,1657,preload,2.4
2025-11-10 09:07:27,2.3,14.1,38.37985436893204,302,4451,gnome-shell,11.2,12045,gnome-system-monitor,10.8,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:07:32,2.2,14.1,38.349514563106794,302,4451,gnome-shell,10.8,12045,gnome-system-monitor,10.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:07:37,1.8,14.1,38.31917475728155,302,12045,gnome-system-monitor,8.4,4451,gnome-shell,8.2,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:07:42,2.7,14.1,38.31917475728155,302,4451,gnome-shell,11.6,12045,gnome-system-monitor,11.4,141,kworker/u49:0-i915_flip,1.6
2025-11-10 09:07:47,2.2,14.1,38.28883495145631,302,4451,gnome-shell,10.7,12045,gnome-system-monitor,10.3,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:07:52,1.8,14.1,38.258495145631066,302,12045,gnome-system-monitor,8.8,4451,gnome-shell,7.8,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:07:57,2.3,14.0,38.258495145631066,302,4451,gnome-shell,11.8,12045,gnome-system-monitor,11.4,141,kworker/u49:0-i915_flip,1.4
2025-11-10 09:08:02,4.8,14.0,38.228155339805824,302,4451,gnome-shell,40.4,12045,gnome-system-monitor,9.0,141,kworker/u49:0-i915_flip,1.0
2025-11-10 09:08:08,6.9,14.3,38.19781553398058,304,4451,gnome-shell,50.8,12045,gnome-system-monitor,5.0,8953,gnome-terminal-server,2.8
2025-11-10 09:08:13,2.5,14.1,38.16747572815534,303,4451,gnome-shell,12.9,12045,gnome-system-monitor,11.4,581,kworker/u48:16+i915,1.6
2025-11-10 09:08:18,2.1,14.1,38.137135922330096,302,4451,gnome-shell,10.7,12045,gnome-system-monitor,9.5,141,kworker/u49:0-i915_flip,1.2
